event_id,indicator,release_date,actual,consensus,surprise,surprise_pct,regime,ff_rate,yc_10y2y,hy_spread,vix,cuts_implied,sp500_t0,sp500_t1,sp500_t5,sp500_t10,sp500_t20,ret_t1,ret_t5,ret_t10,ret_t20,forecast_source,data_source,analysis,updated_at
ISM_MFG_20190903,ISM Manufacturing PMI,2019-09-03,49.1,51.1,-2.0,-3.9139,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20191001,ISM Manufacturing PMI,2019-10-01,47.8,50.4,-2.6,-5.1587,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20191101,ISM Manufacturing PMI,2019-11-01,48.3,48.9,-0.6,-1.227,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20191203,ISM Manufacturing PMI,2019-12-03,48.1,49.2,-1.1,-2.2358,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200104,ISM Manufacturing PMI,2020-01-04,47.2,49.0,-1.8,-3.6735,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200204,ISM Manufacturing PMI,2020-02-04,50.9,48.5,2.4,4.9485,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200303,ISM Manufacturing PMI,2020-03-03,50.1,50.5,-0.4,-0.7921,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200401,ISM Manufacturing PMI,2020-04-01,49.1,45.0,4.1,9.1111,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200501,ISM Manufacturing PMI,2020-05-01,41.5,36.9,4.6,12.4661,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200601,ISM Manufacturing PMI,2020-06-01,43.1,43.0,0.1,0.2326,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200701,ISM Manufacturing PMI,2020-07-01,52.6,49.5,3.1,6.2626,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200803,ISM Manufacturing PMI,2020-08-03,54.2,53.6,0.6,1.1194,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20200901,ISM Manufacturing PMI,2020-09-01,56.0,54.5,1.5,2.7523,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20201001,ISM Manufacturing PMI,2020-10-01,55.4,56.4,-1.0,-1.773,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20201103,ISM Manufacturing PMI,2020-11-03,59.3,55.8,3.5,6.2724,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20201202,ISM Manufacturing PMI,2020-12-02,57.5,58.0,-0.5,-0.8621,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20210106,ISM Manufacturing PMI,2021-01-06,60.7,56.6,4.1,7.2438,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20210202,ISM Manufacturing PMI,2021-02-02,58.7,60.0,-1.3,-2.1667,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20210302,ISM Manufacturing PMI,2021-03-02,60.8,58.8,2.0,3.4014,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20210401,ISM Manufacturing PMI,2021-04-01,64.7,61.3,3.4,5.5465,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20210503,ISM Manufacturing PMI,2021-05-03,60.7,65.0,-4.3,-6.6154,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20210601,ISM Manufacturing PMI,2021-06-01,61.2,60.9,0.3,0.4926,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
