event_id,indicator,release_date,actual,consensus,surprise,surprise_pct,regime,ff_rate,yc_10y2y,hy_spread,vix,cuts_implied,sp500_t0,sp500_t1,sp500_t5,sp500_t10,sp500_t20,ret_t1,ret_t5,ret_t10,ret_t20,forecast_source,data_source,analysis,updated_at
ISM_NONMFG_2026-03-05,ISM Non-Manufacturing PMI,2026-03-05,56.1,53.5,2.6,4.8598,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2026-02-05,ISM Non-Manufacturing PMI,2026-02-05,53.8,53.5,0.3,0.5607,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2026-01-08,ISM Non-Manufacturing PMI,2026-01-08,54.4,52.2,2.2,4.2146,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-12-04,ISM Non-Manufacturing PMI,2025-12-04,52.6,52.0,0.6,1.1538,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-11-06,ISM Non-Manufacturing PMI,2025-11-06,52.4,50.7,1.7,3.3531,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-10-03,ISM Non-Manufacturing PMI,2025-10-03,50.0,51.8,-1.8,-3.4749,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-09-04,ISM Non-Manufacturing PMI,2025-09-04,52.0,50.9,1.1,2.1611,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-08-05,ISM Non-Manufacturing PMI,2025-08-05,50.1,51.5,-1.4,-2.7184,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-07-03,ISM Non-Manufacturing PMI,2025-07-03,50.8,50.8,0.0,0.0,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-06-04,ISM Non-Manufacturing PMI,2025-06-04,49.9,52.0,-2.1,-4.0385,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-05-05,ISM Non-Manufacturing PMI,2025-05-05,51.6,50.2,1.4,2.7888,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-04-03,ISM Non-Manufacturing PMI,2025-04-03,50.8,53.0,-2.2,-4.1509,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-03-06,ISM Non-Manufacturing PMI,2025-03-06,53.5,52.5,1.0,1.9048,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-02-06,ISM Non-Manufacturing PMI,2025-02-06,52.8,54.2,-1.4,-2.583,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2025-01-08,ISM Non-Manufacturing PMI,2025-01-08,54.1,53.5,0.6,1.1215,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-12-05,ISM Non-Manufacturing PMI,2024-12-05,52.1,55.5,-3.4,-6.1261,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-11-06,ISM Non-Manufacturing PMI,2024-11-06,56.0,53.8,2.2,4.0892,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-10-03,ISM Non-Manufacturing PMI,2024-10-03,54.9,51.7,3.2,6.1896,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-09-05,ISM Non-Manufacturing PMI,2024-09-05,51.5,51.3,0.2,0.3899,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-08-05,ISM Non-Manufacturing PMI,2024-08-05,51.4,51.4,0.0,0.0,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-07-03,ISM Non-Manufacturing PMI,2024-07-03,48.8,52.6,-3.8,-7.2243,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-06-05,ISM Non-Manufacturing PMI,2024-06-05,53.8,51.0,2.8,5.4902,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-05-03,ISM Non-Manufacturing PMI,2024-05-03,49.4,52.0,-2.6,-5.0,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-04-03,ISM Non-Manufacturing PMI,2024-04-03,51.4,52.8,-1.4,-2.6515,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-03-06,ISM Non-Manufacturing PMI,2024-03-06,52.6,53.0,-0.4,-0.7547,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-02-06,ISM Non-Manufacturing PMI,2024-02-06,53.4,52.0,1.4,2.6923,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2024-01-06,ISM Non-Manufacturing PMI,2024-01-06,50.6,52.6,-2.0,-3.8023,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-12-06,ISM Non-Manufacturing PMI,2023-12-06,52.7,52.0,0.7,1.3462,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-11-03,ISM Non-Manufacturing PMI,2023-11-03,51.8,53.0,-1.2,-2.2642,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-10-04,ISM Non-Manufacturing PMI,2023-10-04,53.6,53.6,0.0,0.0,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-09-06,ISM Non-Manufacturing PMI,2023-09-06,54.5,52.5,2.0,3.8095,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-08-03,ISM Non-Manufacturing PMI,2023-08-03,52.7,53.0,-0.3,-0.566,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-07-06,ISM Non-Manufacturing PMI,2023-07-06,53.9,51.0,2.9,5.6863,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-06-05,ISM Non-Manufacturing PMI,2023-06-05,50.3,52.2,-1.9,-3.6398,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-05-03,ISM Non-Manufacturing PMI,2023-05-03,51.9,51.8,0.1,0.1931,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-04-05,ISM Non-Manufacturing PMI,2023-04-05,51.2,54.5,-3.3,-6.055,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-03-04,ISM Non-Manufacturing PMI,2023-03-04,55.1,54.5,0.6,1.1009,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-02-04,ISM Non-Manufacturing PMI,2023-02-04,55.2,50.4,4.8,9.5238,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-01-07,ISM Non-Manufacturing PMI,2023-01-07,49.6,55.0,-5.4,-9.8182,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-12-06,ISM Non-Manufacturing PMI,2022-12-06,56.5,53.3,3.2,6.0038,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-11-03,ISM Non-Manufacturing PMI,2022-11-03,54.4,55.5,-1.1,-1.982,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
